dict_size,topk,uses_l1,regime,exclusive_pct,metric,delta_vs_baseline
16384,45,True,DFC free-exclusive,0.03,tool_correctness_B_post,-6.0
16384,90,True,DFC free-exclusive,0.03,format_accuracy_A_post,-4.0
16384,90,True,DFC free-exclusive,0.03,format_accuracy_B_post,0.0
16384,90,True,DFC free-exclusive,0.03,overall_score_A_post,-0.13999999999999999
16384,90,True,DFC free-exclusive,0.03,overall_score_B_post,0.12
16384,90,True,DFC free-exclusive,0.03,tool_correctness_A_post,-5.0
16384,90,True,DFC free-exclusive,0.03,tool_correctness_B_post,6.0
16384,160,True,DFC penalized-exclusive,0.03,format_accuracy_A_post,-14.0
16384,160,True,DFC penalized-exclusive,0.03,format_accuracy_B_post,0.0
16384,160,True,DFC penalized-exclusive,0.03,overall_score_A_post,-0.43999999999999995
16384,160,True,DFC penalized-exclusive,0.03,overall_score_B_post,0.08000000000000007
16384,160,True,DFC penalized-exclusive,0.03,tool_correctness_A_post,-15.0
16384,160,True,DFC penalized-exclusive,0.03,tool_correctness_B_post,4.0
16384,45,True,DFC penalized-exclusive,0.03,format_accuracy_A_post,-9.0
16384,45,True,DFC penalized-exclusive,0.03,format_accuracy_B_post,0.0
16384,45,True,DFC penalized-exclusive,0.03,overall_score_A_post,-0.27
16384,45,True,DFC penalized-exclusive,0.03,overall_score_B_post,-0.12
16384,45,True,DFC penalized-exclusive,0.03,tool_correctness_A_post,-9.0
16384,45,True,DFC penalized-exclusive,0.03,tool_correctness_B_post,-6.0
16384,90,True,DFC penalized-exclusive,0.03,format_accuracy_A_post,-3.0
16384,90,True,DFC penalized-exclusive,0.03,format_accuracy_B_post,0.0
16384,90,True,DFC penalized-exclusive,0.03,overall_score_A_post,-0.10999999999999999
16384,90,True,DFC penalized-exclusive,0.03,overall_score_B_post,0.07999999999999996
16384,90,True,DFC penalized-exclusive,0.03,tool_correctness_A_post,-4.0
16384,90,True,DFC penalized-exclusive,0.03,tool_correctness_B_post,4.0
16384,160,True,DFC free-exclusive,0.05,format_accuracy_A_post,-8.0
16384,160,True,DFC free-exclusive,0.05,format_accuracy_B_post,0.0
16384,160,True,DFC free-exclusive,0.05,overall_score_A_post,-0.26
16384,160,True,DFC free-exclusive,0.05,overall_score_B_post,-0.019999999999999907
16384,160,True,DFC free-exclusive,0.05,tool_correctness_A_post,-9.0
16384,160,True,DFC free-exclusive,0.05,tool_correctness_B_post,-1.0
16384,45,True,DFC free-exclusive,0.05,format_accuracy_A_post,-3.0
16384,45,True,DFC free-exclusive,0.05,format_accuracy_B_post,0.0
16384,45,True,DFC free-exclusive,0.05,overall_score_A_post,-0.11000000000000004
16384,45,True,DFC free-exclusive,0.05,overall_score_B_post,-0.12
16384,45,True,DFC free-exclusive,0.05,tool_correctness_A_post,-4.0
16384,45,True,DFC free-exclusive,0.05,tool_correctness_B_post,-6.0
16384,90,True,DFC free-exclusive,0.05,format_accuracy_A_post,-2.0
16384,90,True,DFC free-exclusive,0.05,format_accuracy_B_post,0.0
16384,90,True,DFC free-exclusive,0.05,overall_score_A_post,-0.03999999999999998
16384,90,True,DFC free-exclusive,0.05,overall_score_B_post,0.07999999999999996
16384,90,True,DFC free-exclusive,0.05,tool_correctness_A_post,-1.0
16384,90,True,DFC free-exclusive,0.05,tool_correctness_B_post,4.0
16384,160,True,DFC penalized-exclusive,0.05,format_accuracy_A_post,-17.0
16384,160,True,DFC penalized-exclusive,0.05,format_accuracy_B_post,0.0
16384,160,True,DFC penalized-exclusive,0.05,overall_score_A_post,-0.51
16384,160,True,DFC penalized-exclusive,0.05,overall_score_B_post,0.0
16384,160,True,DFC penalized-exclusive,0.05,tool_correctness_A_post,-17.0
16384,160,True,DFC penalized-exclusive,0.05,tool_correctness_B_post,0.0
16384,45,True,DFC penalized-exclusive,0.05,format_accuracy_A_post,-6.0
16384,45,True,DFC penalized-exclusive,0.05,format_accuracy_B_post,0.0
16384,45,True,DFC penalized-exclusive,0.05,overall_score_A_post,-0.18000000000000005
16384,45,True,DFC penalized-exclusive,0.05,overall_score_B_post,-0.17999999999999994
16384,45,True,DFC penalized-exclusive,0.05,tool_correctness_A_post,-6.0
16384,45,True,DFC penalized-exclusive,0.05,tool_correctness_B_post,-9.0
16384,90,True,DFC penalized-exclusive,0.05,format_accuracy_A_post,4.0
16384,90,True,DFC penalized-exclusive,0.05,format_accuracy_B_post,0.0
16384,90,True,DFC penalized-exclusive,0.05,overall_score_A_post,0.12
16384,90,True,DFC penalized-exclusive,0.05,overall_score_B_post,0.0
16384,90,True,DFC penalized-exclusive,0.05,tool_correctness_A_post,4.0
16384,90,True,DFC penalized-exclusive,0.05,tool_correctness_B_post,0.0
8192,160,True,DFC free-exclusive,0.1,format_accuracy_A_post,34.0
8192,160,True,DFC free-exclusive,0.1,format_accuracy_B_post,0.0
8192,160,True,DFC free-exclusive,0.1,overall_score_A_post,1.02
8192,160,True,DFC free-exclusive,0.1,overall_score_B_post,-0.07999999999999996
8192,160,True,DFC free-exclusive,0.1,tool_correctness_A_post,34.0
8192,160,True,DFC free-exclusive,0.1,tool_correctness_B_post,-4.0
8192,45,True,DFC free-exclusive,0.1,format_accuracy_A_post,-17.0
8192,45,True,DFC free-exclusive,0.1,format_accuracy_B_post,0.0
8192,45,True,DFC free-exclusive,0.1,overall_score_A_post,-0.49
8192,45,True,DFC free-exclusive,0.1,overall_score_B_post,-0.12
8192,45,True,DFC free-exclusive,0.1,tool_correctness_A_post,-16.0
8192,45,True,DFC free-exclusive,0.1,tool_correctness_B_post,-6.0
8192,90,True,DFC free-exclusive,0.1,format_accuracy_A_post,2.0
8192,90,True,DFC free-exclusive,0.1,format_accuracy_B_post,0.0
8192,90,True,DFC free-exclusive,0.1,overall_score_A_post,0.06000000000000005
8192,90,True,DFC free-exclusive,0.1,overall_score_B_post,0.12
8192,90,True,DFC free-exclusive,0.1,tool_correctness_A_post,2.0
8192,90,True,DFC free-exclusive,0.1,tool_correctness_B_post,6.0
8192,160,True,DFC penalized-exclusive,0.1,format_accuracy_A_post,-5.0
8192,160,True,DFC penalized-exclusive,0.1,format_accuracy_B_post,0.0
8192,160,True,DFC penalized-exclusive,0.1,overall_score_A_post,-0.14999999999999997
8192,160,True,DFC penalized-exclusive,0.1,overall_score_B_post,0.08000000000000007
8192,160,True,DFC penalized-exclusive,0.1,tool_correctness_A_post,-5.0
8192,160,True,DFC penalized-exclusive,0.1,tool_correctness_B_post,4.0
8192,45,True,DFC penalized-exclusive,0.1,format_accuracy_A_post,-2.0
8192,45,True,DFC penalized-exclusive,0.1,format_accuracy_B_post,0.0
8192,45,True,DFC penalized-exclusive,0.1,overall_score_A_post,-0.06000000000000005
8192,45,True,DFC penalized-exclusive,0.1,overall_score_B_post,0.16000000000000003
8192,45,True,DFC penalized-exclusive,0.1,tool_correctness_A_post,-2.0
8192,45,True,DFC penalized-exclusive,0.1,tool_correctness_B_post,8.0
8192,90,True,DFC penalized-exclusive,0.1,format_accuracy_A_post,4.0
8192,90,True,DFC penalized-exclusive,0.1,format_accuracy_B_post,0.0
8192,90,True,DFC penalized-exclusive,0.1,overall_score_A_post,0.09999999999999998
8192,90,True,DFC penalized-exclusive,0.1,overall_score_B_post,-0.020000000000000018
8192,90,True,DFC penalized-exclusive,0.1,tool_correctness_A_post,3.0
8192,90,True,DFC penalized-exclusive,0.1,tool_correctness_B_post,-1.0
8192,160,True,DFC free-exclusive,0.03,format_accuracy_A_post,7.0
8192,160,True,DFC free-exclusive,0.03,format_accuracy_B_post,0.0
8192,160,True,DFC free-exclusive,0.03,overall_score_A_post,0.21000000000000008
8192,160,True,DFC free-exclusive,0.03,overall_score_B_post,0.040000000000000036
8192,160,True,DFC free-exclusive,0.03,tool_correctness_A_post,7.0
8192,160,True,DFC free-exclusive,0.03,tool_correctness_B_post,2.0
8192,45,True,DFC free-exclusive,0.03,format_accuracy_A_post,-9.0
8192,45,True,DFC free-exclusive,0.03,format_accuracy_B_post,0.0
8192,45,True,DFC free-exclusive,0.03,overall_score_A_post,-0.29000000000000004
8192,45,True,DFC free-exclusive,0.03,overall_score_B_post,-0.12
8192,45,True,DFC free-exclusive,0.03,tool_correctness_A_post,-10.0
8192,45,True,DFC free-exclusive,0.03,tool_correctness_B_post,-6.0
8192,90,True,DFC free-exclusive,0.03,format_accuracy_A_post,-14.0
8192,90,True,DFC free-exclusive,0.03,format_accuracy_B_post,0.0
8192,90,True,DFC free-exclusive,0.03,overall_score_A_post,-0.4
8192,90,True,DFC free-exclusive,0.03,overall_score_B_post,0.12
8192,90,True,DFC free-exclusive,0.03,tool_correctness_A_post,-13.0
8192,90,True,DFC free-exclusive,0.03,tool_correctness_B_post,6.0
8192,160,True,DFC penalized-exclusive,0.03,format_accuracy_A_post,1.0
8192,160,True,DFC penalized-exclusive,0.03,format_accuracy_B_post,0.0
8192,160,True,DFC penalized-exclusive,0.03,overall_score_A_post,0.030000000000000027
8192,160,True,DFC penalized-exclusive,0.03,overall_score_B_post,0.020000000000000018
8192,160,True,DFC penalized-exclusive,0.03,tool_correctness_A_post,1.0
8192,160,True,DFC penalized-exclusive,0.03,tool_correctness_B_post,1.0
8192,45,True,DFC penalized-exclusive,0.03,format_accuracy_A_post,-14.0
8192,45,True,DFC penalized-exclusive,0.03,format_accuracy_B_post,0.0
8192,45,True,DFC penalized-exclusive,0.03,overall_score_A_post,-0.44
8192,45,True,DFC penalized-exclusive,0.03,overall_score_B_post,-0.21999999999999997
8192,45,True,DFC penalized-exclusive,0.03,tool_correctness_A_post,-15.0
8192,45,True,DFC penalized-exclusive,0.03,tool_correctness_B_post,-11.0
8192,90,True,DFC penalized-exclusive,0.03,format_accuracy_A_post,-6.0
8192,90,True,DFC penalized-exclusive,0.03,format_accuracy_B_post,0.0
8192,90,True,DFC penalized-exclusive,0.03,overall_score_A_post,-0.18
8192,90,True,DFC penalized-exclusive,0.03,overall_score_B_post,0.05999999999999994
8192,90,True,DFC penalized-exclusive,0.03,tool_correctness_A_post,-6.0
8192,90,True,DFC penalized-exclusive,0.03,tool_correctness_B_post,3.0
8192,160,True,DFC free-exclusive,0.05,format_accuracy_A_post,2.0
8192,160,True,DFC free-exclusive,0.05,format_accuracy_B_post,0.0
8192,160,True,DFC free-exclusive,0.05,overall_score_A_post,0.06000000000000005
8192,160,True,DFC free-exclusive,0.05,overall_score_B_post,0.0
8192,160,True,DFC free-exclusive,0.05,tool_correctness_A_post,2.0
8192,160,True,DFC free-exclusive,0.05,tool_correctness_B_post,0.0
8192,45,True,DFC free-exclusive,0.05,format_accuracy_A_post,-1.0
8192,45,True,DFC free-exclusive,0.05,format_accuracy_B_post,0.0
8192,45,True,DFC free-exclusive,0.05,overall_score_A_post,-0.050000000000000044
8192,45,True,DFC free-exclusive,0.05,overall_score_B_post,-0.19999999999999996
8192,45,True,DFC free-exclusive,0.05,tool_correctness_A_post,-2.0
8192,45,True,DFC free-exclusive,0.05,tool_correctness_B_post,-10.0
8192,90,True,DFC free-exclusive,0.05,format_accuracy_A_post,14.0
8192,90,True,DFC free-exclusive,0.05,format_accuracy_B_post,0.0
8192,90,True,DFC free-exclusive,0.05,overall_score_A_post,0.42000000000000004
8192,90,True,DFC free-exclusive,0.05,overall_score_B_post,0.0
8192,90,True,DFC free-exclusive,0.05,tool_correctness_A_post,14.0
8192,90,True,DFC free-exclusive,0.05,tool_correctness_B_post,0.0
8192,160,True,DFC penalized-exclusive,0.05,format_accuracy_A_post,-23.0
8192,160,True,DFC penalized-exclusive,0.05,format_accuracy_B_post,0.0
8192,160,True,DFC penalized-exclusive,0.05,overall_score_A_post,-0.69
8192,160,True,DFC penalized-exclusive,0.05,overall_score_B_post,-0.039999999999999925
8192,160,True,DFC penalized-exclusive,0.05,tool_correctness_A_post,-23.0
8192,160,True,DFC penalized-exclusive,0.05,tool_correctness_B_post,-2.0
8192,45,True,DFC penalized-exclusive,0.05,format_accuracy_A_post,-13.0
8192,45,True,DFC penalized-exclusive,0.05,format_accuracy_B_post,0.0
8192,45,True,DFC penalized-exclusive,0.05,overall_score_A_post,-0.41000000000000003
8192,45,True,DFC penalized-exclusive,0.05,overall_score_B_post,-0.17999999999999994
8192,45,True,DFC penalized-exclusive,0.05,tool_correctness_A_post,-14.0
8192,45,True,DFC penalized-exclusive,0.05,tool_correctness_B_post,-9.0
8192,90,True,DFC penalized-exclusive,0.05,format_accuracy_A_post,1.0
8192,90,True,DFC penalized-exclusive,0.05,format_accuracy_B_post,0.0
8192,90,True,DFC penalized-exclusive,0.05,overall_score_A_post,0.050000000000000044
8192,90,True,DFC penalized-exclusive,0.05,overall_score_B_post,0.19999999999999996
8192,90,True,DFC penalized-exclusive,0.05,tool_correctness_A_post,2.0
8192,90,True,DFC penalized-exclusive,0.05,tool_correctness_B_post,10.0
